z,ang,flow,time,delflow,Cy,Cx,Cz
222,-11.24983,0,1609858703,0.0,-0.023800664259944943,0.11965587482771324,0.3552
222,-11.19087,0,1609858753,0.0,-0.023677520265426782,0.11968030345081977,0.3552
222,-11.14033,0,1609858804,0.0,-0.023571942340058317,0.11970114257732449,0.3552
222,-11.08219,0,1609858854,0.0,-0.023450465354717908,0.11972500020733837,0.3552
222,-11.01243,0,1609858904,0.0,-0.023304677830527618,0.11975346337879049,0.3552
222,-10.94381,0,1609858955,0.0,-0.02316123902265308,0.11978128821704803,0.3552
222,-10.87859,0,1609859005,0.0,-0.02302487655854312,0.11980757513389483,0.3552
222,-10.80026,0,1609859055,0.0,-0.022861064191557163,0.11983894084991531,0.3552
222,-10.73006,0,1609859107,0.0,-0.022714217866046188,0.11986686075281103,0.3552
222,-10.6543,0,1609859158,0.0,-0.022555702727680583,0.11989679009239781,0.3552
222,-10.58613,0,1609859208,0.0,-0.02241303468046823,0.11992354179397859,0.3552
222,-8.393067,0,1609859258,0.0,-0.017807525272209274,0.12069338028110584,0.3552
222,-8.562319,0,1609859309,0.0,-0.018163975866690375,0.12064025025137459,0.3552
222,-8.679454,0,1609859359,0.0,-0.018410573628840625,0.12060286389077599,0.3552
222,-8.676684,0,1609859410,0.0,-0.018404742987065015,0.12060375382043496,0.3552
222,-8.676126,0,1609859460,0.0,-0.018403568433804526,0.12060393305735212,0.3552
222,-8.651045,0,1609859510,0.0,-0.01835077277936896,0.1206119775909506,0.3552
222,-8.618523,0,1609859561,0.0,-0.018282308541067147,0.1206223743523946,0.3552
222,-8.571712,0,1609859611,0.0,-0.018183753237554716,0.12063727085024643,0.3552
222,-8.52893,0,1609859662,0.0,-0.01809366992385291,0.12065081478666714,0.3552
222,-8.487439,0,1609859704,0.0,-0.01800629534964171,0.12066388576447168,0.3552
222,-8.442315,0,1609859755,0.0,-0.017911259439175493,0.12067802942251978,0.3552
222,-8.400964,0,1609859806,0.0,-0.017824160108806563,0.12069092474753695,0.3552
222,-8.348122,0,1609859854,0.0,-0.017712843301169182,0.12070731204938756,0.3552
222,-8.294326,0,1609859904,0.0,-0.017599501323838477,0.12072388973667228,0.3552
222,-8.236269,0,1609859955,0.0,-0.017477164505991755,0.12074166108195837,0.3552
222,-8.184525,0,1609860005,0.0,-0.017368115217016682,0.12075739552428427,0.3552
222,-8.12015,0,1609860055,0.0,-0.017232426622226075,0.12077683334443569,0.3552
222,-8.058477,0,1609860107,0.0,-0.01710241285416445,0.12079531230377158,0.3552
222,-8.003427,0,1609860159,0.0,-0.01698634438859499,0.12081168860798215,0.3552
222,-7.938812,0,1609860209,0.0,-0.016850088898892893,0.12083076803570937,0.3552
222,-5.919732,0,1609860259,0.0,-0.01258248156127404,0.12134941762431412,0.3552
222,-6.142204,0,1609860310,0.0,-0.013053569405384349,0.12129964684935737,0.3552
222,-6.184581,0,1609860360,0.0,-0.013143281250512681,0.12128995901545157,0.3552
222,-6.186705,0,1609860411,0.0,-0.013147777556482143,0.12128947170024802,0.3552
222,-6.192574,0,1609860461,0.0,-0.013160201577275876,0.12128812429271657,0.3552
222,-6.154766,0,1609860511,0.0,-0.013080163828017475,0.12129678196156822,0.3552
222,-6.140538,0,1609860562,0.0,-0.013050042347553662,0.12130002635913587,0.3552
222,-6.109982,0,1609860612,0.0,-0.012985350850372323,0.1213069687334274,0.3552
222,-6.072931,0,1609860653,0.0,-0.012906903540909776,0.12131534050146194,0.3552
222,-6.033893,0,1609860704,0.0,-0.012824243359189387,0.12132410635263005,0.3552
222,-5.98208,0,1609860754,0.0,-0.012714523837816604,0.12133565380207745,0.3552
222,-5.923037,0,1609860804,0.0,-0.012589481354785095,0.12134869162548692,0.3552
222,-5.880951,0,1609860854,0.0,-0.01250034258724636,0.12135790635637002,0.3552
222,-5.826718,0,1609860905,0.0,-0.012385466356318351,0.12136968411896154,0.3552
222,-5.776043,0,1609860955,0.0,-0.012278116643181116,0.12138059091838546,0.3552
222,-5.734101,0,1609861006,0.0,-0.012189259613603285,0.1213895462965085,0.3552
222,-5.686624,0,1609861056,0.0,-0.012088668424392423,0.12139960500646244,0.3552
222,-5.639512,0,1609861104,0.0,-0.011988842368401156,0.12140950398822008,0.3552
222,-5.586904,0,1609861156,0.0,-0.011877361210526837,0.1214204607579574,0.3552
222,-5.533458,0,1609861206,0.0,-0.011764094000760766,0.12143148723597708,0.3552
222,-3.767591,0,1609861257,0.0,-0.008016557738067656,0.12173633312217116,0.3552
222,-3.898425,0,1609861307,0.0,-0.008294519573986532,0.12171771007144667,0.3552
222,-4.002489,0,1609861357,0.0,-0.008515576710527443,0.12170244431927865,0.3552
222,-4.022295,0,1609861408,0.0,-0.008557646291106745,0.12169949338413988,0.3552
222,-4.02752,0,1609861458,0.0,-0.00856874445258838,0.1216987124767811,0.3552
222,-3.997146,0,1609861508,0.0,-0.008504227562544353,0.12170323789268904,0.3552
222,-3.990902,0,1609861559,0.0,-0.008490964492982285,0.1217041639467562,0.3552
222,-3.96897,0,1609861609,0.0,-0.008444377269227213,0.12170740524937239,0.3552
222,-3.938475,0,1609861660,0.0,-0.0083795987513668,0.1217118824304599,0.3552
222,-3.915779,0,1609861710,0.0,-0.0083313855932147,0.12171519220745278,0.3552
222,-3.883098,0,1609861753,0.0,-0.008261958985057629,0.1217199245552232,0.3552
222,-3.846445,0,1609861803,0.0,-0.008184091173685579,0.12172518495225547,0.3552
222,-3.821254,0,1609861854,0.0,-0.008130571972387412,0.12172877145277458,0.3552
222,-3.76503,0,1609861904,0.0,-0.00801111637379084,0.12173669132371547,0.3552
222,-3.729503,0,1609861954,0.0,-0.007935630405528589,0.12174163531868154,0.3552
222,-3.684817,0,1609862005,0.0,-0.00784067952966113,0.12174778743169484,0.3552
222,-3.628048,0,1609862055,0.0,-0.007720047267037289,0.12175549626277538,0.3552
222,-3.590133,0,1609862105,0.0,-0.007639474907417708,0.12176057828024198,0.3552
222,-3.53935,0,1609862157,0.0,-0.0075315518000241095,0.1217673015529356,0.3552
222,-3.496943,0,1609862208,0.0,-0.007441424678506527,0.12177284261588918,0.3552
222,-1.940474,0,1609862259,0.0,-0.004131064722372463,0.1219300385641683,0.3552
222,-2.134097,0,1609862309,0.0,-0.004543085705442648,0.12191538201667992,0.3552
222,-2.206027,0,1609862357,0.0,-0.004696136524797411,0.12190958248530122,0.3552
222,-2.211343,0,1609862407,0.0,-0.004707447483247363,0.12190914624503146,0.3552
222,-2.222754,0,1609862458,0.0,-0.0047317267568925325,0.12190820629431846,0.3552
222,-2.194931,0,1609862508,0.0,-0.004672527215769905,0.12191048966113575,0.3552
222,-2.180872,0,1609862558,0.0,-0.00464261318665621,0.12191163251633982,0.3552
222,-2.15326,0,1609862609,0.0,-0.004583860957705431,0.1219138557290369,0.3552
222,-2.122044,0,1609862659,0.0,-0.004517438932492743,0.12191633502320842,0.3552
222,-2.100814,0,1609862710,0.0,-0.004472264549259676,0.12191800051592641,0.3552
222,-2.058206,0,1609862761,0.0,-0.004381599013610124,0.12192129260340022,0.3552
222,-2.028338,0,1609862811,0.0,-0.004318041468109842,0.12192356014273731,0.3552
